emission rate,date,"Latitude, Longitude"
1871.070686,2017-12-12 6:42:49,"(36.59393568979883, 61.59239164750596)"
5156.945118,2017-12-12 6:42:49,"(36.592465149553256, 61.6208120837499)"
11148.99785,2017-12-17 6:43:01,"(36.593193568579416, 61.590616534259006)"
1437.897249,2018-10-03 6:37:11,"(36.59212001964622, 61.591306773597836)"
4987.198851,2020-10-12 6:38:21,"(36.635715181057556, 61.65068816611978)"
6082.912163,2017-11-01 7:10:19,"(39.495527081000205, 53.63774343215063)"
10801.54613,2017-11-06 7:11:01,"(39.497570573927646, 53.63503000793905)"
3791.064191,2017-11-11 7:11:19,"(39.4970252420085, 53.63524196136955)"
5192.025188,2017-11-14 7:21:29,"(39.498142246182, 53.633656240010936)"
15411.23224,2017-11-16 7:13:01,"(39.5002656133202, 53.63536441047136)"
8089.181676,2017-11-16 7:13:01,"(39.456864327901386, 53.61048358393355)"
41045.27206,2017-11-19 7:22:01,"(39.499089735984306, 53.63159894129077)"
5857.722918,2018-01-23 7:21:59,"(39.45595376742807, 53.610914393928425)"
3831.497657,2018-04-20 7:06:19,"(39.45571632845651, 53.61346214391217)"
5576.40344,2018-04-25 7:07:31,"(39.45596420029141, 53.610449941120855)"
9066.922505,2018-05-18 7:16:21,"(39.4544926932206, 53.61178944480665)"
4285.822308,2018-05-20 7:06:19,"(39.45686954380431, 53.610251354454654)"
2622.696268,2018-05-23 7:18:09,"(39.45524931368977, 53.61019080385022)"
4669.517438,2018-05-25 7:06:21,"(39.45541890754626, 53.610661980800685)"
14926.88123,2018-06-22 7:16:19,"(39.4550379877157, 53.61157741646083)"
2492.872779,2018-06-24 7:06:21,"(39.45505885648349, 53.61064852326635)"
2193.704712,2018-06-27 7:16:21,"(39.45431788604262, 53.611550492566515)"
1840.203959,2018-06-29 7:06:19,"(39.454889262481146, 53.610177348824095)"
9823.02018,2018-07-04 7:07:31,"(39.45557806390172, 53.611597610015465)"
5687.489435,2018-07-07 7:16:21,"(39.453190754506245, 53.61360006097539)"
4813.741342,2018-07-09 7:06:19,"(39.45483708626258, 53.61249957523777)"
5417.382144,2018-07-22 7:16:19,"(39.496617752285324, 53.63731956964386)"
49377.5749,2018-12-01 7:12:41,"(39.490936639051824, 53.657335469594024)"
10559.64513,2018-12-26 7:13:09,"(39.467777410815884, 53.6615678402116)"
9392.277357,2019-05-18 7:16:29,"(39.49678722343811, 53.63779109152915)"
14398.49679,2019-06-17 7:16:29,"(39.496983067029376, 53.63710082674697)"
21489.62085,2019-06-19 7:06:31,"(39.496427182774426, 53.63777747425847)"
6941.001429,2019-06-27 7:16:29,"(39.49647463915515, 53.635686268230316)"
15527.30724,2019-07-02 7:16:21,"(39.49559094169761, 53.64286200394505)"
4401.722978,2019-07-12 7:16:21,"(39.49582378933079, 53.64054529428872)"
14694.14147,2019-07-19 7:06:31,"(39.49567016581931, 53.63937671386215)"
8609.64509,2019-07-22 7:16:21,"(39.49573874232417, 53.636356118000535)"
10444.42512,2019-07-24 7:06:29,"(39.49686693279517, 53.64221268637579)"
8453.806521,2019-07-29 7:06:31,"(39.49572819719381, 53.63682082572793)"
6591.857009,2019-08-06 7:16:29,"(39.496988340524936, 53.63686846878846)"
13443.53535,2019-08-13 7:06:29,"(39.49319736351916, 53.637190239320745)"
8335.069796,2019-08-16 7:16:29,"(39.497353654516424, 53.63664972242525)"
12071.67753,2019-08-21 7:16:21,"(39.497639040241815, 53.632009319254344)"
5618.989879,2019-08-23 7:06:29,"(39.49789371590664, 53.636670140367684)"
10240.21741,2019-08-26 7:16:19,"(39.49699361355675, 53.63663611076889)"
5845.381311,2019-08-28 7:06:21,"(39.49605659125499, 53.63822856661889)"
20392.84361,2019-09-17 7:06:21,"(39.49586601834989, 53.6386864649476)"
8475.108117,2019-09-20 7:16:21,"(39.49731145673982, 53.63850859444114)"
6630.683267,2019-09-25 7:16:29,"(39.49823793560951, 53.63738083907008)"
